EXP,Year,Farmer,Site,FC,STATE,HYB,CODE,LENGTH,MAD,TWT,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,NO3N,NH4N,Bray1P,TOC,TON,SoilCN,POMC,POMN,POMCN,PMN,POXC ,Texture,Sand%,Silt%,Clay%,MCA1,MCA2 ,PROTA1,PROTA2,OLA1,OLA2,STRA1,STRA2,DTA1,DTA2,TWA1,TWA2,FRA1,FRA2,GWT1,GWT2,GWT3,GWT4,GWT5,GWT6,300KWT1,300KWT2
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,17,10,53,19.63,6.4,3.28,83,15,50,2105,679,213,35,18.2,10.3,41,16.435,1.423,11.5474,2.44,0.1464,13.8807,5.584,423.3204,CL,36,28,36,9.4,9.3,10.1,10.1,4.8,4.9,68.2,68.1,1.166,1.167,54.9,54.1,9.29,9.32,2310.9,1908.1,2456.7,1821.7,2257.9,2001.1,71.3,69.6
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,17.461,ORG1,17,8.7,56.8,20.23,6.3,3.18,82,15,50,2124,688,221,35,17.3,12,40,16.606,1.401,11.8497,1.949152542,0.137587238,15.9417,7.688,411.4008,CL,36,28,36,9.3,9.4,10,9.7,4.7,4.8,68.6,68.6,1.156,1.142,55.9,55.6,9.35,9.28,1762.7,510.1,1609.4,2833.3,3179.9,3572.4,74,75.8
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,461.2B24,ORG2,17,10,56.3,17.66,6.3,3.09,81,13,50,1875,591,186,29,13.3,9.8,39,16.085,1.4,11.4888,1.417964072,0.088622754,14.5128,17.104,421.6176,CL,33,33,34,9,9.3,11.5,11.4,4.6,4.7,67.6,67.5,1.18,1.175,57.1,56.8,9.34,9.29,1690.1,1166.7,1977.7,2274.7,2607.7,3016.3,79.8,75.3
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,17,9.4,54.7,18.73,6.6,3.23,82,13,47,2060,677,245,31,15.9,10,40,16.578,1.414,11.7244,2.0145,0.1185,14.8116,11.024,421.6176,C,36,21,43,8.2,8.3,9.8,10,4.6,4.5,69.2,69,1.171,1.161,56.5,56.5,9.53,9.49,2193,1030.1,2690.9,2646.5,2579.9,2063.4,73.4,71.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,FOS8507,CHECK2,17,9.6,56.5,17.60,6.3,3.13,81,15,50,1835,597,216,35,19.6,10.7,48,17.204,1.473,11.6832,2.310778443,0.135928144,16.2169,13.256,438.6456,CL,21,47,32,9.4,9.4,7.8,7.9,3.5,3.5,72.1,72.1,1.219,1.233,57.8,58,9.68,9.73,3257.5,2068.7,3008.3,4150.5,4264.9,3686.2,86.9,85.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,M9 x NG10-2-3-2,ORG18,17,10.4,57.8,19.21,6.5,3.01,80,15,45,2093,686,195,33,19.9,10,35,16.391,1.42,11.5396,1.838161838,0.11988012,16.6923,14.824,435.24,CL,27,39,34,9.5,9.5,8.7,8.5,4,4.2,71.1,71,1.261,1.246,57.1,57,9.82,9.76,2466.5,2492.1,3040.4,2465.9,2777.1,3239.7,65.1,63.1
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,NG10 x MBS5507,ORG19,17,10.8,54.5,18.26,6.5,3.01,80,12,53,1996,649,190,28,11.8,9.9,40,16.053,1.371,11.7065,2.916383616,0.157642358,16.3572,15.704,396.0756,C,36,19,45,9.5,9.6,8.8,8.7,3.8,3.8,71.1,70.9,1.219,1.185,55.5,55,9.71,9.53,1916.7,1583.2,2543.3,2706.5,2123.1,2897.6,71.3,70.7
OREI-STRIPS_2018,2018,Adsit,Adsit2018,GA,WISCONSIN,17.2B24,ORG4,17,10.1,54.2,17.75,6.2,3.09,81,14,55,1845,572,218,34,17.4,10.4,51,16.123,1.333,12.0979,2.904095904,0.102497502,19.9582,9.536,394.3728,C,18,39,43,8.9,9.1,7.1,7.1,4.3,4.3,71.7,71.7,1.142,1.144,53.8,53.7,9.6,9.61,2604.8,2646.4,3078.2,2881.6,3377.7,3651.3,73.6,71.8
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,NG10 x MBS5507,ORG19,8.5,10.1,52.6,19.02,6.9,2.45,69,9,20,2351,702,78,18,10.1,9.6,16,14.77,1.474,10.0183,2.3328,0.192,12.2799,18.096,401.184,SiCL,2,65,33,10,9.9,10.1,10.1,3.6,4,69.8,69.4,1.184,1.183,53.7,53.7,9.39,9.4,979.7,669.7,1142,1010.2,1385.6,677.3,72,72.6
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,17.461,ORG1,8.5,9.6,54.1,12.01,7,2.5,70,10,50,1557,416,60,17,3.8,9.3,47,15.708,1.636,9.6044,1.903984064,0.139840637,13.6591,8.392,331.3692,SiL,2,73,25,9.8,10.1,9.6,9.5,4.2,4.1,69.4,69.6,1.155,1.151,53.7,53.9,9.31,9.28,1502.1,1297.5,960.1,1943.8,1696.2,1614.9,79.9,78.1
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,17.2B24,ORG4,8.5,9.7,52.6,16.60,6.7,2.41,68,11,33,2005,573,71,20,19.8,8.8,26,14.236,1.458,9.7626,1.826373626,0.131868132,13.8609,19.048,419.9148,SiCL,2,67,31,10.2,10.1,8.6,8.6,4.8,4.5,69.9,70.2,1.163,1.165,52.8,52.7,9.48,9.5,962.6,1208.7,1039.4,1851.6,1504.5,1751.3,78,75
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,FOS8507,CHECK2,8.5,9.7,55.2,11.74,7.2,2.43,69,10,44,1461,447,55,17,5,7.6,41,16.218,1.364,11.8858,2.0688,0.1584,13.1608,12.472,346.6944,SiL,2,73,25,8.9,9.1,7.5,7.4,3,3,72.6,72.6,1.183,1.176,54.8,54.2,9.56,9.53,2242.2,1255.8,1614.8,2270.8,1667.4,1750.4,78.9,79.6
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,461.2B24,ORG2,8.5,9.7,51.3,14.12,6.8,2.23,65,10,26,1717,508,59,17,8.6,7.5,22,13.307,1.398,9.5215,1.635828343,0.110778443,14.9592,8.864,331.3692,SiL,2,76,22,9.7,9.6,12.4,12.1,3.9,3.8,67.7,68,1.194,1.192,53,53.2,9.31,9.31,1291.5,1030,770.5,1313.2,1401.8,854.4,69.4,68.2
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,8.5,9.9,54.8,12.84,6.7,2.4,68,11,43,1631,395,56,16,9.3,9,37,12.186,1.279,9.529,1.719080919,0.125874126,13.7431,13.784,333.072,SiCL,2,67,31,9.6,9.6,9.8,9.7,4.5,4.3,69.1,69.3,1.173,1.161,54.2,54.5,9.44,9.39,1229.7,835.3,970.5,1246.5,959.1,1066.3,75.3,74.2
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,M9 x NG10-2-3-2,ORG18,8.5,9.9,53.8,14.07,6.7,2.13,63,10,28,1696,487,59,19,8.7,8.1,21,11.198,1.174,9.5393,1.400099701,0.092721834,15.0228,11.384,346.6944,SiL,2,72,26,9.5,9.7,11,10.9,4.2,4,68.8,68.9,1.261,1.251,53.6,53.1,9.57,9.5,1112.3,793.5,312.9,991.3,391.2,126.6,56.5,56.9
OREI-STRIPS_2018,2018,Beiler,Beiler2018,MB,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,8.5,9.4,55.5,13.83,6.5,2.1,62,10,39,1623,447,69,22,10.6,9.6,31,17.721,1.822,9.9867,1.252290837,0.092031873,13.6184,13.08,334.7748,SiL,3,73,24,8,7.8,10.2,10,3.9,4,69.4,69.4,1.164,1.171,54.8,54.7,9.42,9.46,1047.7,181,485.7,1138.2,668.2,420,69.8,67.5
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,8.5,10,50.7,26.44,7.9,5.69,103,13,61,3605,864,86,16,7.1,10.9,41,35.097,2.389,13.8353,6.141858142,0.36003996,16.6158,6.336,683.8488,C,21,37,42,8.4,8.3,11.1,11.1,3.9,4.2,68.6,68.3,1.181,1.17,53.5,53.4,9.43,9.36,635.9,250.7,624.2,562.5,532.6,177.9,68.3,67.3
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,17.2B24,ORG4,8.5,9.8,52.3,26.30,8,3.94,89,10,18,3712,787,89,14,9.2,6.3,11,32.792,2.26,14.7035,3.773479561,0.198604187,19.1689,6.768,966.5136,CL,33,28,39,10.3,10.3,6.4,6.3,4.8,4.7,71.7,72,1.144,1.147,52.9,52.9,9.6,9.62,1682.5,577.8,1356.2,941,1060.1,456,58.6,59.9
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,17.461,ORG1,8.5,9.4,50.4,28.39,8.1,3.66,87,12,17,4059,821,97,15,10.4,6.4,10,44.438,3.084,12.1569,3.4814,0.169,21.5438,14.36,966.5136,C,29,29,42,10,10.1,9.4,9.4,4.1,4,69.8,69.9,1.168,1.162,50.9,51,9.4,9.37,971,1013.2,1267.2,861.6,1118.1,548.7,51.2,53.3
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,NG10 x MBS5507,ORG19,8.5,10.4,53.2,28.90,8,3.63,86,12,16,4144,828,93,13,10.1,7.4,9,47.625,3.176,15.2784,3.5096,0.164,22.9861,12.672,940.9716,C,31,27,42,8.7,8.8,7.4,7.4,4.1,4.2,71.7,71.7,1.174,1.178,55.1,55.2,9.7,9.69,959.3,902.6,1066.7,660.1,870.7,956,68.8,69.8
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,FOS8507,CHECK2,8.5,10,52,28.65,8.1,3.41,84,11,14,3997,890,96,14,12.7,6,8,47.845,3.072,15.1207,3.323353293,0.099700599,29.166,17.024,935.8632,C,24,35,41,9.8,10.3,6.4,6.4,3.5,3.5,73.1,73.1,1.169,1.17,53.1,53.1,9.65,9.61,1133.6,1375.5,933,519.9,988.7,946.5,76.9,80.4
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,M9 x NG10-2-3-2,ORG18,8.5,10.3,52.4,26.99,8,3.41,84,11,16,3833,794,92,13,9.2,7.2,7,46.492,3.087,14.7738,4.8146,0.181,28.1396,17.24,905.2128,C,31,27,42,9.6,9.7,9.1,9,3.7,3.5,70.9,71.2,1.249,1.241,54.1,54.3,9.71,9.68,722.5,845.4,245.3,579.4,837,720.3,49.6,46.2
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,8.5,9.9,53.1,28.08,8.2,3.58,86,11,17,4032,805,99,13,10.4,6.7,10,46.02,3.026,14.8756,3.8194,0.1352,27.1912,14.944,932.4576,C,33,26,41,9.9,9.9,9,9.1,4,4.1,70.4,70.3,1.172,1.173,54,54,9.56,9.55,978.8,1267.4,666.9,781.5,1010.3,426.5,72.9,72.9
OREI-STRIPS_2018,2018,Dahnert,Dahnert2018,DA,WISCONSIN,461.2B24,ORG2,8.5,9.9,51.8,27.09,8,3.41,84,11,17,3950,736,91,12,12,8,10,46.334,2.937,15.2403,4.546453546,0.147852148,31.3843,14.688,888.1848,C,36,24,40,10,10.1,8.4,8.3,4.8,4.3,70,70.6,1.15,1.15,53.5,53.6,9.52,9.5,927,1037.3,786.1,1021.6,1189.3,1063.5,70.3,71.3
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,461.2B24,ORG2,8.5,11.5,55.9,20.31,7.3,3.72,87,16,22,2325,894,116,24,3,9.8,15,18.739,1.84,10.1842,2.374850299,0.136526946,17.314,18.288,551.0304,SiCL,4,65,31,9.7,9.7,10.1,10,4.5,4.4,68.9,69,1.173,1.166,56.6,56.6,9.38,9.37,1921.5,1753.5,2009.5,2008.2,1507,2253.1,82,80.7
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,8.5,10.7,56.5,17.92,7.4,3.89,89,18,30,1997,775,237,35,4.3,9.7,23,21.035,2.01,10.4661,3.994405594,0.290909091,13.8663,22.144,619.1424,SiCL,2,69,29,9.5,9.6,10.2,10.1,4.3,4.4,69.1,69,1.188,1.183,57.2,56.9,9.45,9.43,1532.3,1826.6,1158.9,1622.4,1297.7,1594.4,86.9,85.9
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,FOS8507,CHECK2,8.5,11.4,556.2,18.88,7.3,3.86,89,14,37,2159,789,243,27,5,8.4,29,21.633,2.076,10.419,4.3618,0.3277,13.3062,18.536,607.2228,SiCL,3,65,32,9.5,9.7,7.8,7.8,3.4,3.2,72.1,72.4,1.207,1.224,55.7,55.9,9.61,9.67,2760.2,2543.2,2409.8,2381.8,2190,2771.7,92.4,94.3
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,M9 x NG10-2-3-2,ORG18,8.5,11.7,56,17.76,7.4,3.81,88,15,24,1925,834,142,25,3.3,6.8,18,19.707,1.827,10.7839,2.810878244,0.184530938,15.3239,25.448,608.9256,SiCL,2,65,33,9.2,9.4,10.2,10.2,4.3,4,69.4,69.9,1.253,1.264,57.5,57.7,9.64,9.7,2386.6,1833,1469.3,1694.9,1872.7,1650.9,76.5,71.7
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,NG10 x MBS5507,ORG19,8.5,12.1,54.4,18.16,7.5,3.81,88,16,28,1944,845,227,24,4.7,8.1,22,20.074,1.842,10.8981,2.860939061,0.177422577,16.1179,26.008,603.8172,SiCL,3,65,32,9.4,9.5,8.9,9,4,4,70.5,70.4,1.2,1.211,56.3,55.7,9.55,9.59,1766.6,1798.2,1756.5,1661.7,2277.5,2340.7,86.8,82.5
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,8.5,10.5,55.5,17.56,7.4,3.73,87,16,23,1901,825,141,26,9.1,7.6,14,19.455,1.824,10.6686,3.113659023,0.212362911,14.6145,27.704,585.0864,SiCL,4,66,30,9.4,9.3,12.2,12.1,4.5,4.3,66.9,67.1,1.183,1.181,55.7,55.6,9.2,9.2,990,939.3,1001.3,967.3,1011.8,1067.4,89.6,91.7
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,17.2B24,ORG4,8.5,11,56.9,19.51,7.5,3.89,89,15,21,2136,914,137,24,4.2,8.7,13,21.053,1.865,11.2878,3.130769231,0.195904096,15.9572,27.504,612.3312,SiL,2,74,24,9.7,9.9,9.1,9.1,4.5,4.7,69.6,69.4,1.161,1.16,56.1,55.9,9.39,9.35,2188.9,2069.2,2187.2,2272.8,2016.8,2071.4,89.6,86.3
OREI-STRIPS_2018,2018,Stoltzfus,Stoltzfus2018,MS,WISCONSIN,17.461,ORG1,8.5,10.7,55.3,20.13,7.5,3.8,88,16,23,2122,975,182,34,5,7.5,16,19.548,1.732,11.2866,3.009571286,0.19441675,15.5884,23.864,552.7332,SiCL,4,60,36,8.1,8,9.3,9.3,4.3,4.4,69.6,69.5,1.133,1.136,55.5,55.4,9.38,9.39,2640.3,2035.4,1630.9,2392,2000.1,1897.6,70.7,71.6
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,461.2B24,ORG2,17,12.4,53.5,14.13,6.8,2.39,68,11,9,1693,520,69,19,9.7,11,3,13.55,1.348,9.7914,2.204386839,0.166999003,12.6264,11.36,363.7224,CL,34,35,31,10,10,9.1,9.3,4.9,4.9,69.2,69,1.152,1.159,56.3,56.4,9.37,9.37,2201.5,3627.9,3017,3171.8,3231.3,3148.6,81.8,85.6
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,17.2B24,ORG4,17,11.2,55,13.88,6.8,2.78,76,12,13,1639,514,91,27,13.9,9.7,7,13.915,1.465,9.5007,3.465668663,0.2500998,13.2851,27.136,499.9464,CL,30,34,36,10.1,10.2,8.3,8.3,4.8,4.7,69.9,70.1,1.151,1.15,54,54.5,9.39,9.38,3383.7,4544.3,4777.7,4979.3,5027.5,4721.2,80,77.1
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,M9 x NG10-2-3-2,ORG18,17,12.2,56.3,12.71,6.8,2.17,63,12,13,1545,452,66,20,12,7.4,8,16.28,1.594,9.4201,2.226294821,0.177091633,12.8669,19.056,348.3972,CL,33,31,36,9.9,9.9,8.8,9,4,4.2,70.8,70.6,1.245,1.269,57.2,56.9,9.65,9.76,4058.1,4674.9,3537,4051,3385.5,3480.7,70.8,70.4
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,NG10 x MBS5507,ORG19,17,11.5,55.4,12.73,6.9,2.18,64,11,12,1567,460,71,27,16.9,8.7,7,13.501,1.399,9.6508,2.289552239,0.176119403,13.0178,19.176,470.9988,CL,31,33,36,9.9,10,9.7,9.5,4.4,4.1,69.3,69.9,1.192,1.196,55.7,55.8,9.45,9.47,4588.2,5088.5,4328.6,4825.1,3826.7,3734.4,93.9,92.2
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,9.2)15 x NG10-2-3-2,ORG8,17,11.4,55.7,14.29,6.9,2.21,64,10,15,1746,522,97,24,11.5,7.3,9,14.783,1.554,9.5149,2.361538462,0.153346653,14.4087,15.96,404.5896,CL,30,32,38,8,7.8,11,11,3.9,4,68.6,68.4,1.166,1.165,55.2,55.1,9.33,9.34,1694.1,1102.4,1753.7,1369.4,1073.3,1968.9,78.2,77.3
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,FOS8507,CHECK2,17,11.3,56.2,12.14,6.8,2.44,69,10,12,1458,442,63,18,14.3,7.8,7,19.842,2.007,9.8871,2.233,0.1595,13.4653,27.312,482.9184,CL,31,36,33,9.7,9.6,7.8,7.5,3.6,3.7,71.9,72,1.221,1.221,57.1,56.9,9.61,9.66,6127.1,5391.6,4614,4426.5,5732.6,4142.2,95,91.1
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,17.461,ORG1,17,10.7,55.7,20.02,6.5,3.44,84,14,33,2475,573,114,22,18,8.6,22,13.117,1.307,10.036,1.568063872,0.124550898,12.4754,23.024,464.1876,CL,32,35,33,8,8.1,9.7,9.4,4.2,4.3,69.5,69.4,1.151,1.139,55.5,55.4,9.43,9.38,4668.1,4198.1,3679.1,4702.8,4977.6,4473.5,96,91.6
OREI-STRIPS_2018,2018,Zinniker,Zinniker2018,MZ,WISCONSIN,461.2B24_Inoc,ORG2_Inoc,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
