Site,Farm,Year,month,prcp,srad,tmax,tmin,temp
Adsit2018,Adsit,2018,May,36.71,354.5257143,72.29685714,48.34657143,60.32171429
Adsit2018,Adsit,2018,Jun,43.94,321.1033333,73.577,56.201,64.889
Adsit2018,Adsit,2018,Jul,0.72,419.5583333,80.246,58.442,69.344
Adsit2018,Adsit,2018,Aug,9.18,334.5366667,80.285,60.839,70.562
Adsit2018,Adsit,2018,Sep,23.36,360.67,76.331,52.733,64.532
Ambriole2018,Ambriole,2018,May,16.66,378.2557143,77.73285714,53.78,65.75642857
Ambriole2018,Ambriole,2018,Jun,60.19,327.42,79.307,60.611,69.959
Ambriole2018,Ambriole,2018,Jul,2.99,396.89,81.845,61.592,71.7185
Ambriole2018,Ambriole,2018,Aug,16.37,341.9466667,82.055,64.112,73.0835
Ambriole2018,Ambriole,2018,Sep,11.65,311.1316667,74.987,57.764,66.3755
Beiler2018,Beiler,2018,May,39.88,354.5,73.83457143,52.03142857,62.933
Beiler2018,Beiler,2018,Jun,31.65,310.2,77.051,61.187,69.119
Beiler2018,Beiler,2018,Jul,0,427.555,80.15,59.087,69.6185
Beiler2018,Beiler,2018,Aug,10.99,331.425,79.865,62.045,70.955
Beiler2018,Beiler,2018,Sep,32.2,343.8333333,75.308,52.331,63.8195
Buxton2018,Buxton,2018,May,2.71,408.9528571,83.84,59.59142857,71.71571429
Buxton2018,Buxton,2018,Jun,56.16,344.6116667,85.526,65.24,75.383
Buxton2018,Buxton,2018,Jul,8.07,388.2683333,82.85,64.37,73.61
Buxton2018,Buxton,2018,Aug,3.44,371.6133333,83.633,65.9,74.7665
Buxton2018,Buxton,2018,Sep,40.7,332.0266667,79.631,60.128,69.8795
Dahnert2018,Dahnert,2018,May,32.89,347.24,73.094,50.73028571,61.91214286
Dahnert2018,Dahnert,2018,Jun,22.41,294.125,75.08,58.52,66.8
Dahnert2018,Dahnert,2018,Jul,0.99,417.625,80.951,59.927,70.439
Dahnert2018,Dahnert,2018,Aug,15.58,341.0616667,80.309,62.024,71.1665
Dahnert2018,Dahnert,2018,Sep,30.9,345.6,76.859,53.585,65.222
Erisman2018,Erisman,2018,May,6.69,412.5457143,83.83742857,59.25971429,71.54857143
Erisman2018,Erisman,2018,Jun,70.23,348.6216667,86.426,65.429,75.9275
Erisman2018,Erisman,2018,Jul,2.05,384.4166667,83.036,64.463,73.7495
Erisman2018,Erisman,2018,Aug,5.86,344.3283333,84.026,65.912,74.969
Erisman2018,Erisman,2018,Sep,36.67,341.2366667,80.561,60.218,70.3895
Glazik2018,Glazik,2018,May,5.11,420.4314286,83.52885714,56.72428571,70.12657143
Glazik2018,Glazik,2018,Jun,15.49,357.3883333,83.825,63.062,73.4435
Glazik2018,Glazik,2018,Jul,3.79,406.455,82.874,62.54,72.707
Glazik2018,Glazik,2018,Aug,0,395.4916667,84.293,63.302,73.7975
Glazik2018,Glazik,2018,Sep,37.72,332.8016667,79.241,57.557,68.399
Gray2018,Gray,2018,May,6.82,425.0057143,82.24057143,55.46942857,68.855
Gray2018,Gray,2018,Jun,18.51,346.2483333,82.085,63.116,72.6005
Gray2018,Gray,2018,Jul,2.85,401.9133333,82.484,62.594,72.539
Gray2018,Gray,2018,Aug,19.88,348.5933333,84.497,64.109,74.303
Gray2018,Gray,2018,Sep,13.82,321.6583333,78.29,57.995,68.1425
Gruver2018,Gruver,2018,May,7.09,418.0814286,83.95571429,57.51885714,70.73728571
Gruver2018,Gruver,2018,Jun,26.44,335.6583333,84.23,64.049,74.1395
Gruver2018,Gruver,2018,Jul,0,440.7816667,82.46,60.881,71.6705
Gruver2018,Gruver,2018,Aug,6.12,349.9666667,83.822,64.028,73.925
Gruver2018,Gruver,2018,Sep,30.34,351.935,78.143,55.718,66.9305
Stoltzfus2018,Stoltzfus,2018,May,31.08,350.6028571,73.91171429,51.8,62.85585714
Stoltzfus2018,Stoltzfus,2018,Jun,40.76,314.175,77.171,60.704,68.9375
Stoltzfus2018,Stoltzfus,2018,Jul,0,426.2283333,80.216,58.784,69.5
Stoltzfus2018,Stoltzfus,2018,Aug,4.9,347.5566667,80,61.502,70.751
Stoltzfus2018,Stoltzfus,2018,Sep,26.93,360.95,76.067,52.043,64.055
Wilken2018,Wilken,2018,May,1.24,441.4757143,82.23542857,55.24314286,68.73928571
Wilken2018,Wilken,2018,Jun,25.81,327.0616667,82.502,63.101,72.8015
Wilken2018,Wilken,2018,Jul,1.22,413.6833333,82.493,62.51,72.5015
Wilken2018,Wilken,2018,Aug,3.35,370.57,84.506,63.932,74.219
Wilken2018,Wilken,2018,Sep,16.19,326.5133333,78.593,57.647,68.12
Zinniker2018,Zinniker,2018,May,26.09,391.25,72.28142857,47.52885714,59.90514286
Zinniker2018,Zinniker,2018,Jun,57.43,293.7516667,73.145,55.898,64.5215
Zinniker2018,Zinniker,2018,Jul,1.57,421.7133333,79.643,57.437,68.54
Zinniker2018,Zinniker,2018,Aug,8.85,339.6833333,80.462,60.173,70.3175
Zinniker2018,Zinniker,2018,Sep,28.08,361.3333333,76.037,52.097,64.067
Adsit2019,Adsit,2019,May,29.18,319.8971429,63.60028571,46.93742857,55.26885714
Adsit2019,Adsit,2019,Jun,22.71,396.945,74.462,53.243,63.8525
Adsit2019,Adsit,2019,Jul,25.89,363.8583333,84.005,63.14,73.5725
Adsit2019,Adsit,2019,Aug,12.53,383.7433333,80.096,57.611,68.8535
Adsit2019,Adsit,2019,Sep,100.22,251.0233333,73.754,57.389,65.5715
Ambriole2019,Ambriole,2019,May,50.41,410.0585714,68.50914286,47.43371429,57.97142857
Ambriole2019,Ambriole,2019,Jun,7.17,401.6833333,78.755,57.986,68.3705
Ambriole2019,Ambriole,2019,Jul,20.24,364.28,83.474,64.412,73.943
Ambriole2019,Ambriole,2019,Aug,86.9,350.6383333,80.789,62.159,71.474
Ambriole2019,Ambriole,2019,Sep,74.49,312.3116667,79.301,59.021,69.161
Anibas2019,Anibas,2019,May,18.38,416.1942857,67.51657143,44.19628571,55.85642857
Anibas2019,Anibas,2019,Jun,6.37,381.24,76.037,54.806,65.4215
Anibas2019,Anibas,2019,Jul,7.75,361.78,83.003,63.317,73.16
Anibas2019,Anibas,2019,Aug,25.7,345.1633333,79.538,59.111,69.3245
Anibas2019,Anibas,2019,Sep,41.59,267.955,72.962,56.15,64.556
Beiler2019,Beiler,2019,May,20.35,355.85,65.93257143,47.59571429,56.76414286
Beiler2019,Beiler,2019,Jun,9.82,358.0166667,75.305,56.294,65.7995
Beiler2019,Beiler,2019,Jul,36.66,372.4016667,83.054,63.293,73.1735
Beiler2019,Beiler,2019,Aug,31.19,363.6466667,78.152,58.262,68.207
Beiler2019,Beiler,2019,Sep,121.5,237.3883333,73.745,57.659,65.702
Bryan2019,Bryan,2019,May,58,367.7557143,70.63828571,49.568,60.10314286
Bryan2019,Bryan,2019,Jun,9.22,425.0183333,80.66,59.171,69.9155
Bryan2019,Bryan,2019,Jul,37.4,338.16,84.644,66.563,75.6035
Bryan2019,Bryan,2019,Aug,23.91,313.805,80.435,62.693,71.564
Bryan2019,Bryan,2019,Sep,26.09,312.675,81.266,60.104,70.685
Doonan2019,Doonan,2019,May,57.4,326.2485714,69.638,50.32142857,59.97971429
Doonan2019,Doonan,2019,Jun,6.51,387.1783333,79.769,60.599,70.184
Doonan2019,Doonan,2019,Jul,27.86,361.4183333,86.543,66.272,76.4075
Doonan2019,Doonan,2019,Aug,10.44,349.065,81.785,62.192,71.9885
Doonan2019,Doonan,2019,Sep,103.28,271.9166667,78.974,60.803,69.8885
Doudlah2019,Doudlah,2019,May,31.11,327.5728571,64.51828571,47.63685714,56.07757143
Doudlah2019,Doudlah,2019,Jun,8.57,360.775,75.416,55.595,65.5055
Doudlah2019,Doudlah,2019,Jul,34.48,389.545,84.296,63.593,73.9445
Doudlah2019,Doudlah,2019,Aug,13.89,372.025,79.805,58.199,69.002
Doudlah2019,Doudlah,2019,Sep,70.38,252.1333333,73.937,57.713,65.825
Gruver2019,Gruver,2019,May,64.79,347.1628571,71.33,50.74571429,61.03785714
Gruver2019,Gruver,2019,Jun,29.22,402.955,80.525,60.371,70.448
Gruver2019,Gruver,2019,Jul,28.7,390.915,86.609,66.875,76.742
Gruver2019,Gruver,2019,Aug,8.29,344.8366667,82.349,63.512,72.9305
Gruver2019,Gruver,2019,Sep,126.47,278.145,79.793,61.277,70.535
Longwell2019,Longwell,2019,May,26.96,380.9042857,72.43057143,50.34714286,61.38885714
Longwell2019,Longwell,2019,Jun,11.77,423.3833333,81.224,58.781,70.0025
Longwell2019,Longwell,2019,Jul,11.71,340.6683333,84.023,66.371,75.197
Longwell2019,Longwell,2019,Aug,26.1,318.5166667,80.993,63.881,72.437
Longwell2019,Longwell,2019,Sep,10.35,347.3516667,83.573,59.507,71.54
Smith2019,Smith,2019,May,60.82,315.9985714,71.384,51.76657143,61.57528571
Smith2019,Smith,2019,Jun,18.44,409.7683333,81.5,60.605,71.0525
Smith2019,Smith,2019,Jul,14.56,384.805,86.498,66.941,76.7195
Smith2019,Smith,2019,Aug,25.65,336.4516667,82.742,63.962,73.352
Smith2019,Smith,2019,Sep,132.25,287.2733333,81.323,61.409,71.366
Steiner2019,Steiner,2019,May,50.13,369.9014286,70.92885714,49.67857143,60.30371429
Steiner2019,Steiner,2019,Jun,7.07,425.3383333,80.924,59.366,70.145
Steiner2019,Steiner,2019,Jul,36.17,342.045,84.71,66.452,75.581
Steiner2019,Steiner,2019,Aug,17.73,325.2616667,80.468,62.912,71.69
Steiner2019,Steiner,2019,Sep,26.07,313.815,81.341,60.053,70.697
Stoltzfus12019,Stoltzfus1,2019,May,28.54,350.36,65.606,47.48,56.543
Stoltzfus12019,Stoltzfus1,2019,Jun,8.45,353.005,75.572,56.312,65.942
Stoltzfus12019,Stoltzfus1,2019,Jul,29.43,387.57,83.531,63.428,73.4795
Stoltzfus12019,Stoltzfus1,2019,Aug,35.02,372.4533333,78.812,57.62,68.216
Stoltzfus12019,Stoltzfus1,2019,Sep,136.25,249.7633333,73.934,57.707,65.8205
Stoltzfus22019,Stoltzfus2,2019,May,28.54,350.36,65.606,47.48,56.543
Stoltzfus22019,Stoltzfus2,2019,Jun,8.45,353.005,75.572,56.312,65.942
Stoltzfus22019,Stoltzfus2,2019,Jul,29.43,387.57,83.531,63.428,73.4795
Stoltzfus22019,Stoltzfus2,2019,Aug,35.02,372.4533333,78.812,57.62,68.216
Stoltzfus22019,Stoltzfus2,2019,Sep,136.25,249.7633333,73.934,57.707,65.8205
Zinniker2019,Zinniker,2019,May,29.89,311.3257143,63.37142857,46.78571429,55.07857143
Zinniker2019,Zinniker,2019,Jun,21.16,400.2533333,74.342,52.793,63.5675
Zinniker2019,Zinniker,2019,Jul,27,363.96,83.912,62.876,73.394
Zinniker2019,Zinniker,2019,Aug,14.71,385.26,80.072,57.002,68.537
Zinniker2019,Zinniker,2019,Sep,103.28,249.1433333,73.7,57.239,65.4695
Ambriole2020,Ambriole,2020,May,12.72,332.8683333,67.295,49.067,58.181
Ambriole2020,Ambriole,2020,Jun,6.22,427.795,85.355,60.62,72.9875
Ambriole2020,Ambriole,2020,Jul,25.92,353.5928571,86.39085714,65.02742857,75.70914286
Ambriole2020,Ambriole,2020,Aug,18.42,390.7328571,82.616,59.20057143,70.90828571
Ambriole2020,Ambriole,2020,Sep,7.68,363.5133333,77.687,51.425,64.556
Anibas2020,Anibas,2020,May,22.36,376.8666667,67.565,47.219,57.392
Anibas2020,Anibas,2020,Jun,9.85,352.1666667,79.322,59.588,69.455
Anibas2020,Anibas,2020,Jul,10.72,358.92,84.52657143,63.44085714,73.98371429
Anibas2020,Anibas,2020,Aug,23.78,379.6857143,82.94514286,58.41114286,70.67814286
Anibas2020,Anibas,2020,Sep,6,311.9466667,72.011,51.578,61.7945
Beiler2020,Beiler,2020,May,9.68,361.1533333,64.805,46.739,55.772
Beiler2020,Beiler,2020,Jun,34.55,356.15,80.45,60.209,70.3295
Beiler2020,Beiler,2020,Jul,29,359.4342857,83.74228571,64.652,74.19714286
Beiler2020,Beiler,2020,Aug,7.11,412.1942857,81.31742857,57.56771429,69.44257143
Beiler2020,Beiler,2020,Sep,41.37,303.11,72.41,51.44,61.925
Bryan2020,Bryan,2020,May,32.32,303.9333333,66.671,49.67,58.1705
Bryan2020,Bryan,2020,Jun,0,444.7333333,85.808,62.069,73.9385
Bryan2020,Bryan,2020,Jul,34.67,370.8071429,87.19828571,65.69857143,76.44842857
Bryan2020,Bryan,2020,Aug,14.52,384.1071429,81.99371429,59.97971429,70.98671429
Bryan2020,Bryan,2020,Sep,3.76,368.9233333,77.66,51.365,64.5125
Clark2020,Clark,2020,May,11.69,366.0666667,65.351,46.385,55.868
Clark2020,Clark,2020,Jun,39.67,363.12,81.401,59.42,70.4105
Clark2020,Clark,2020,Jul,28.41,360.57,84.33371429,63.94485714,74.13928571
Clark2020,Clark,2020,Aug,12.8,416.03,81.96285714,56.74485714,69.35385714
Clark2020,Clark,2020,Sep,39.91,299.34,72.062,50.597,61.3295
Doonan2020,Doonan,2020,May,17.04,319.6,65.684,49.724,57.704
Doonan2020,Doonan,2020,Jun,26.47,347.4433333,81.476,63.548,72.512
Doonan2020,Doonan,2020,Jul,61.95,328.0128571,84.81457143,66.38514286,75.59985714
Doonan2020,Doonan,2020,Aug,0,421.6042857,83.192,59.97714286,71.58457143
Doonan2020,Doonan,2020,Sep,59.88,308.8866667,77.918,55.331,66.6245
Egre2020,Egre,2020,May,9.36,378.1983333,65.492,47.006,56.249
Egre2020,Egre,2020,Jun,20.64,360.7066667,82.379,60.263,71.321
Egre2020,Egre,2020,Jul,13.69,377.6057143,84.91742857,64.09914286,74.50828571
Egre2020,Egre,2020,Aug,10.81,416.4571429,82.46685714,57.05085714,69.75885714
Egre2020,Egre,2020,Sep,43.89,300.3183333,72.752,51.209,61.9805
Esch2020,Esch,2020,May,8.65,367.43,64.751,46.367,55.559
Esch2020,Esch,2020,Jun,40.33,353.1516667,80.027,60.26,70.1435
Esch2020,Esch,2020,Jul,24.93,345.6085714,83.20485714,64.61342857,73.90914286
Esch2020,Esch,2020,Aug,11.18,411.6871429,80.98057143,57.69114286,69.33585714
Esch2020,Esch,2020,Sep,55.33,303.065,71.966,51.416,61.691
Goldstein2020,Goldstein,2020,May,13.27,381.1166667,64.883,46.277,55.58
Goldstein2020,Goldstein,2020,Jun,14.98,404.9083333,82.247,58.199,70.223
Goldstein2020,Goldstein,2020,Jul,17.82,352.1985714,84.11,63.932,74.021
Goldstein2020,Goldstein,2020,Aug,3.52,412.9385714,81.53857143,56.624,69.08128571
Goldstein2020,Goldstein,2020,Sep,28.94,303.455,72.767,51.197,61.982
Gruver2020,Gruver,2020,May,10.74,322.4633333,65.783,50.168,57.9755
Gruver2020,Gruver,2020,Jun,17.1,338.7183333,80.567,63.332,71.9495
Gruver2020,Gruver,2020,Jul,25.97,347.9071429,84.56771429,66.35428571,75.461
Gruver2020,Gruver,2020,Aug,0,427.9357143,82.48228571,59.63771429,71.06
Gruver2020,Gruver,2020,Sep,58.38,339.7266667,78.734,55.409,67.0715
Longwell2020,Longwell,2020,May,6.74,325.2866667,66.224,49.865,58.0445
Longwell2020,Longwell,2020,Jun,15.06,436.1716667,84.032,60.899,72.4655
Longwell2020,Longwell,2020,Jul,40.05,348.7042857,84.79142857,65.25371429,75.02257143
Longwell2020,Longwell,2020,Aug,24.76,396.3157143,80.84428571,59.73542857,70.28985714
Longwell2020,Longwell,2020,Sep,1.81,386.4316667,76.715,51.758,64.2365
Smith2020,Smith,2020,May,47.22,296.6466667,66.329,51.176,58.7525
Smith2020,Smith,2020,Jun,8.27,358.7016667,82.646,62.99,72.818
Smith2020,Smith,2020,Jul,31.32,350.5028571,86.31628571,66.98942857,76.65285714
Smith2020,Smith,2020,Aug,0,415.3157143,82.958,60.19571429,71.57685714
Smith2020,Smith,2020,Sep,66.13,314.7966667,78.905,55.751,67.328
Steiner2020,Steiner,2020,May,27.72,329.3983333,67.151,49.619,58.385
Steiner2020,Steiner,2020,Jun,3.77,425.515,85.262,61.748,73.505
Steiner2020,Steiner,2020,Jul,33.88,367.6385714,86.47314286,65.51857143,75.99585714
Steiner2020,Steiner,2020,Aug,12.05,388.48,82.07342857,59.78685714,70.93014286
Steiner2020,Steiner,2020,Sep,3.33,369.1866667,77.948,51.635,64.7915
Wilken2020,Wilken,2020,May,15.35,329.8133333,67.217,50.873,59.045
Wilken2020,Wilken,2020,Jun,19.53,388.5066667,84.917,62.564,73.7405
Wilken2020,Wilken,2020,Jul,23.68,358.3857143,85.92542857,65.85542857,75.89042857
Wilken2020,Wilken,2020,Aug,15.07,388.7242857,81.73142857,60.06714286,70.89928571
Wilken2020,Wilken,2020,Sep,24.1,335.4316667,78.572,54.356,66.464
Ambriole2021,Ambriole,2021,May,25.53,418.5942857,70.32714286,45.57971429,57.95342857
Ambriole2021,Ambriole,2021,Jun,6.03,369.2616667,81.188,60.854,71.021
Ambriole2021,Ambriole,2021,Jul,33.67,371.8816667,82.001,62.246,72.1235
Ambriole2021,Ambriole,2021,Aug,31.46,358.37,84.404,62.966,73.685
Ambriole2021,Ambriole,2021,Sep,53.94,336.77,79.196,55.691,67.4435
Doonan2021,Doonan,2021,May,12.34,376.7785714,70.556,51.31657143,60.93628571
Doonan2021,Doonan,2021,Jun,4.64,396.23,82.046,61.793,71.9195
Doonan2021,Doonan,2021,Jul,11.17,373.7283333,82.223,63.824,73.0235
Doonan2021,Doonan,2021,Aug,0,412.19,84.215,62.417,73.316
Doonan2021,Doonan,2021,Sep,0,381.2466667,82.574,56.732,69.653
Gruver2021,Gruver,2021,May,21.2,352.2814286,70.304,51.66114286,60.98257143
Gruver2021,Gruver,2021,Jun,0,395.3933333,80.543,61.898,71.2205
Gruver2021,Gruver,2021,Jul,6.3,394.4683333,82.013,63.773,72.893
Gruver2021,Gruver,2021,Aug,6.9,401.865,83.894,62.795,73.3445
Gruver2021,Gruver,2021,Sep,0,388.74,82.76,57.119,69.9395
Smith2021,Smith,2021,May,9.62,392.2057143,72.30457143,52.22942857,62.267
Smith2021,Smith,2021,Jun,5.09,392.9883333,82.1,62.372,72.236
Smith2021,Smith,2021,Jul,18.22,401.91,83.297,64.355,73.826
Smith2021,Smith,2021,Aug,6.41,395.19,84.737,64.121,74.429
Smith2021,Smith,2021,Sep,0,383.2033333,83.639,58.136,70.8875
