Management,Levels,PHT,groups_PHT,EHT,groups_EHT,SDL,groups_SDL,SDS,groups_SDS,TWT,groups_TWT,KWT300,groups_KWT300,PRO,groups_PRO,OIL,groups_OIL,STA,groups_STA
FS,Animal,230.98,ab,103.1025641,b,21.77980769,a,19.58814103,a,11.97292885,a,72.90961538,c,8.569230769,a,3.925,ab,71.58461538,a
,Mix,235.14,a,109.15,a,21.81517844,a,19.58340298,a,11.75499656,a,79.6105,a,7.9823,b,4.0535,a,68.7785,b
,Green,223.30,b,110.381055,a,20.36530295,b,18.30836183,b,9.037361806,b,76.13518519,b,7.321481481,c,3.837037037,b,70.86666667,a
WRT,Low,244.96,a,111.0767196,a,22.07766673,a,19.8013388,a,12.3491494,a,76.67698413,b,7.936031746,b,3.972222222,a,69.59492063,a
,Moderate,225.97,b,106.7985075,b,21.15988206,b,19.02503294,b,10.58801017,b,77.05820896,b,7.88119403,b,4.043432836,a,69.58641791,a
,High,216.36,c,105.3313834,b,21.26308354,b,19.12157314,b,10.58310788,b,83.42608696,a,8.291304348,a,3.906086957,a,69.81217391,a
Dens,Low,234.21,a,109.5331858,a,21.93190251,a,19.71571108,a,11.54027494,a,77.17699115,b,7.95159292,b,4.055221239,a,69.60663717,a
,Medium,229.79,ab,101.4756944,b,20.85574418,b,18.7021505,b,11.28642031,a,78.50625,ab,8.289583333,a,3.992083333,a,69.51041667,a
,High,223.04,b,110.2055303,a,19.92582373,c,17.82692308,c,9.742463672,b,81.7,a,7.576875,c,3.559375,b,69.915625,a
CI,High,230.57,b,104.9791397,b,21.43149478,a,19.24782358,a,11.24986515,b,76.19830508,c,7.985254237,a,3.982711864,a,70.19338983,a
,Medium,239.63,a,119.2412281,a,21.97560907,a,19.6892431,a,12.08699145,a,79.93421053,b,7.624736842,b,3.965263158,a,67.11736842,b
,Low,236.81,ab,120.1770833,a,21.95019168,a,19.78868327,a,10.85422813,b,87.6375,a,8.22375,a,4.10625,a,68.4,b
CD,High,235.85,a,109.8802083,a,21.90662309,a,19.71341513,a,12.08183971,a,79.5609375,a,8.046145833,a,4.0321875,a,69.20885417,b
,Low,226.45,b,105.7448272,b,20.95824924,b,18.7626295,b,10.01663092,b,74.99122807,b,7.829473684,b,3.928245614,b,70.32280702,a
PER,Absent,231.21,b,106.9333756,b,21.26063074,b,19.0900105,b,11.17090359,b,77.57827869,a,7.930655738,b,3.99147541,a,69.8804918,a
,Present,236.83,a,113.8736559,a,22.70513137,a,20.41859523,a,11.86949476,a,78.96129032,a,8.102258065,a,4.001290323,a,68.61387097,b
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Management,Levels,PHT,groups_PHT,EHT,groups_EHT,SDL,groups_SDL,SDS,groups_SDS,TWT,groups_TWT,KWT300,groups_KWT300,PRO,groups_PRO,OIL,groups_OIL,STA,groups_STA
FS,Animal,231 ab,,103.1 b,,21.8 a,,19.6 a,,12 a,,72.9 c,,8.6 a,,3.9 ab,,71.6 a,
,Mix,235.1 a,,109.2 a,,21.8 a,,19.6 a,,11.8 a,,79.6 a,,8 b,,4.1 a,,68.8 b,
,Green,223.3 b,,110.4 a,,20.4 b,,18.3 b,,9 b,,76.1 b,,7.3 c,,3.8 b,,70.9 a,
WRT,Low,245 a,,111.1 a,,22.1 a,,19.8 a,,12.3 a,,76.7 b,,7.9 b,,4 a,,69.6 a,
,Moderate,226 b,,106.8 b,,21.2 b,,19 b,,10.6 b,,77.1 b,,7.9 b,,4 a,,69.6 a,
,High,216.4 c,,105.3 b,,21.3 b,,19.1 b,,10.6 b,,83.4 a,,8.3 a,,3.9 a,,69.8 a,
Dens,Low,234.2 a,,109.5 a,,21.9 a,,19.7 a,,11.5 a,,77.2 b,,8 b,,4.1 a,,69.6 a,
,Medium,229.8 ab,,101.5 b,,20.9 b,,18.7 b,,11.3 a,,78.5 ab,,8.3 a,,4 a,,69.5 a,
,High,223 b,,110.2 a,,19.9 c,,17.8 c,,9.7 b,,81.7 a,,7.6 c,,3.6 b,,69.9 a,
CI,High,230.6 b,,105 b,,21.4 a,,19.2 a,,11.2 b,,76.2 c,,8 a,,4 a,,70.2 a,
,Medium,239.6 a,,119.2 a,,22 a,,19.7 a,,12.1 a,,79.9 b,,7.6 b,,4 a,,67.1 b,
,Low,236.8 ab,,120.2 a,,22 a,,19.8 a,,10.9 b,,87.6 a,,8.2 a,,4.1 a,,68.4 b,
CD,High,235.8 a,,109.9 a,,21.9 a,,19.7 a,,12.1 a,,79.6 a,,8 a,,4 a,,69.2 b,
,Low,226.4 b,,105.7 b,,21 b,,18.8 b,,10 b,,75 b,,7.8 b,,3.9 b,,70.3 a,
PER,Absent,231.2 b,,106.9 b,,21.3 b,,19.1 b,,11.2 b,,77.6 a,,7.9 b,,4 a,,69.9 a,
,Present,236.8 a,,113.9 a,,22.7 a,,20.4 a,,11.9 a,,79 a,,8.1 a,,4 a,,68.6 b,
,,,,,,,,,,,,,,,,,,,
Management,Levels,PHT,EHT,SDL,SDS,TWT,KWT300,PRO,OIL,STA,,,,,,,,,
FS,Animal,231 ab,103.1 b,21.8 a,19.6 a,12 a,72.9 c,8.6 a,3.9 ab,71.6 a,,,,,,,,,
,Mix,235.1 a,109.2 a,21.8 a,19.6 a,11.8 a,79.6 a,8 b,4.1 a,68.8 b,,,,,,,,,
,Green,223.3 b,110.4 a,20.4 b,18.3 b,9 b,76.1 b,7.3 c,3.8 b,70.9 a,,,,,,,,,
WRT,Low,245 a,111.1 a,22.1 a,19.8 a,12.3 a,76.7 b,7.9 b,4 a,69.6 a,,,,,,,,,
,Moderate,226 b,106.8 b,21.2 b,19 b,10.6 b,77.1 b,7.9 b,4 a,69.6 a,,,,,,,,,
,High,216.4 c,105.3 b,21.3 b,19.1 b,10.6 b,83.4 a,8.3 a,3.9 a,69.8 a,,,,,,,,,
Dens,Low,234.2 a,109.5 a,21.9 a,19.7 a,11.5 a,77.2 b,8 b,4.1 a,69.6 a,,,,,,,,,
,Medium,229.8 ab,101.5 b,20.9 b,18.7 b,11.3 a,78.5 ab,8.3 a,4 a,69.5 a,,,,,,,,,
,High,223 b,110.2 a,19.9 c,17.8 c,9.7 b,81.7 a,7.6 c,3.6 b,69.9 a,,,,,,,,,
CI,High,230.6 b,105 b,21.4 a,19.2 a,11.2 b,76.2 c,8 a,4 a,70.2 a,,,,,,,,,
,Medium,239.6 a,119.2 a,22 a,19.7 a,12.1 a,79.9 b,7.6 b,4 a,67.1 b,,,,,,,,,
,Low,236.8 ab,120.2 a,22 a,19.8 a,10.9 b,87.6 a,8.2 a,4.1 a,68.4 b,,,,,,,,,
CD,High,235.8 a,109.9 a,21.9 a,19.7 a,12.1 a,79.6 a,8 a,4 a,69.2 b,,,,,,,,,
,Low,226.4 b,105.7 b,21 b,18.8 b,10 b,75 b,7.8 b,3.9 b,70.3 a,,,,,,,,,
PER,Absent,231.2 b,106.9 b,21.3 b,19.1 b,11.2 b,77.6 a,7.9 b,4 a,69.9 a,,,,,,,,,
,Present,236.8 a,113.9 a,22.7 a,20.4 a,11.9 a,79 a,8.1 a,4 a,68.6 b,,,,,,,,,
